cluster_id,theme,size,mean_probability,persistence,persistence_display,representative_papers
-1,noise,10,0.0,,n/a,Residual disease monitoring in ctDNA surveillance: study 413 | Residual disease monitoring in ctDNA surveillance: study 45 | Residual disease monitoring in ctDNA surveillance: study 9 | Residual disease monitoring in ctDNA surveillance: study 417 | Endocrine resistance strategy for CDK4/6 adaptation: study 2
11,TNBC immunotherapy,125,0.985276234828377,0.10573479085259914,0.106,Immunotherapy programs in microenvironment phenotypes: study 71 | Immunotherapy programs in microenvironment phenotypes: study 123 | Immunotherapy programs in microenvironment phenotypes: study 63 | Immunotherapy programs in microenvironment phenotypes: study 215 | Immunotherapy programs in microenvironment phenotypes: study 263
12,Endocrine resistance,123,0.9789286635856664,0.039706118120417765,0.040,Endocrine resistance strategy for CDK4/6 adaptation: study 270 | Endocrine resistance strategy for CDK4/6 adaptation: study 54 | Endocrine resistance strategy for CDK4/6 adaptation: study 450 | Endocrine resistance strategy for CDK4/6 adaptation: study 66 | Endocrine resistance strategy for CDK4/6 adaptation: study 102
13,Endocrine resistance,125,0.9801420177388913,0.06865377892442091,0.069,Endocrine resistance strategy for ESR1 mutations: study 145 | Endocrine resistance strategy for ESR1 mutations: study 261 | Endocrine resistance strategy for ESR1 mutations: study 237 | Endocrine resistance strategy for ESR1 mutations: study 257 | Endocrine resistance strategy for ESR1 mutations: study 477
14,HER2 biology,125,0.9809032909105512,0.12502501075028297,0.125,HER2-focused development in brain metastases: study 183 | HER2-focused development in brain metastases: study 63 | HER2-focused development in brain metastases: study 463 | HER2-focused development in brain metastases: study 211 | HER2-focused development in brain metastases: study 43
15,Bridge: HER2 biology x Endocrine resistance,125,0.9841435763965563,0.20010470945542583,0.200,Integrated analysis of HER2-low disease with ESR1 mutations: study 145 | Integrated analysis of HER2-low disease with ESR1 mutations: study 345 | Integrated analysis of HER2-low disease with ESR1 mutations: study 105 | Integrated analysis of HER2-low disease with ESR1 mutations: study 281 | Integrated analysis of HER2-low disease with ESR1 mutations: study 141
16,Monitoring and MRD,125,0.9750753773118626,0.11898646597843274,0.119,Residual disease monitoring in neoadjuvant response: study 83 | Residual disease monitoring in neoadjuvant response: study 319 | Residual disease monitoring in neoadjuvant response: study 103 | Residual disease monitoring in neoadjuvant response: study 335 | Residual disease monitoring in neoadjuvant response: study 55
17,Bridge: Monitoring and MRD x HER2 biology,125,0.9847189148574139,0.2137631672457159,0.214,Integrated analysis of longitudinal liquid biopsy with brain metastases: study 136 | Integrated analysis of longitudinal liquid biopsy with brain metastases: study 252 | Integrated analysis of longitudinal liquid biopsy with brain metastases: study 248 | Integrated analysis of longitudinal liquid biopsy with brain metastases: study 384 | Integrated analysis of longitudinal liquid biopsy with brain metastases: study 388
18,Bridge: Endocrine resistance x TNBC immunotherapy,250,0.9998854115575225,0.10137049247393275,0.101,Integrated analysis of CDK4/6 adaptation with microenvironment phenotypes: study 114 | Integrated analysis of CDK4/6 adaptation with microenvironment phenotypes: study 494 | Integrated analysis of microenvironment phenotypes with ctDNA surveillance: study 315 | Integrated analysis of microenvironment phenotypes with ctDNA surveillance: study 363 | Integrated analysis of microenvironment phenotypes with ctDNA surveillance: study 155
19,Monitoring and MRD,250,0.9888709855052217,0.08272773146196244,0.083,Residual disease monitoring in minimal residual disease: study 302 | Residual disease monitoring in minimal residual disease: study 238 | Residual disease monitoring in minimal residual disease: study 454 | Residual disease monitoring in longitudinal liquid biopsy: study 116 | Residual disease monitoring in minimal residual disease: study 22
20,Monitoring and MRD,117,0.982218530007187,0.04158277000421037,0.042,Residual disease monitoring in ctDNA surveillance: study 101 | Residual disease monitoring in ctDNA surveillance: study 421 | Residual disease monitoring in ctDNA surveillance: study 437 | Residual disease monitoring in ctDNA surveillance: study 97 | Residual disease monitoring in ctDNA surveillance: study 145
