record_id,title,abstract,year,seed_theme,record_type,text_for_embedding,original_cluster_id,cluster,probability,cluster_display,cluster_theme,pc1_plot,pc2_plot,pc1_cluster,pc2_cluster,pc3_cluster,pc4_cluster
lung-cancer-01-0053,Resistance evolution in EGFR-mutant disease: study 53,"This study examines EGFR-mutant disease through ALK progression, targeted escape, and acquired resistance. It also discusses links to tumor mutational burden and immune exclusion, alongside real-world evidence and portfolio review.",2024,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 53 [SEP] This study examines EGFR-mutant disease through ALK progression, targeted escape, and acquired resistance. It also discusses links to tumor mutational burden and immune exclusion, alongside real-world evidence and portfolio review.",11,12,0.963020100765665,Cluster 12,EGFR and ALK resistance,0.000784606285804381,-0.01501353588682199,0.000784606285804381,-0.01501353588682199,-0.029546441699527012,0.18145951337291813
lung-cancer-02-0145,KRAS pathway development in KRAS G12C inhibition: study 145,"This study examines KRAS G12C inhibition through feedback signaling, SHP2 biology, and development strategy. It also discusses links to tumor mutational burden and selection logic, alongside mechanism of resistance and real-world evidence.",2021,KRAS development,core,"KRAS pathway development in KRAS G12C inhibition: study 145 [SEP] This study examines KRAS G12C inhibition through feedback signaling, SHP2 biology, and development strategy. It also discusses links to tumor mutational burden and selection logic, alongside mechanism of resistance and real-world evidence.",12,13,0.9643610112764984,Cluster 13,KRAS development,0.11696402890589848,0.20750036267548658,0.11696402890589848,0.20750036267548658,0.2397861962481209,-0.21719602709106456
lung-cancer-04-0264,Molecular monitoring for longitudinal plasma genotyping: study 264,"This study examines longitudinal plasma genotyping through residual disease, ctDNA surveillance, and liquid biopsy. It also discusses links to PD-L1 biomarker and checkpoint response, alongside real-world evidence and dose optimization.",2022,ctDNA and monitoring,core,"Molecular monitoring for longitudinal plasma genotyping: study 264 [SEP] This study examines longitudinal plasma genotyping through residual disease, ctDNA surveillance, and liquid biopsy. It also discusses links to PD-L1 biomarker and checkpoint response, alongside real-world evidence and dose optimization.",20,21,0.9245949932596013,Cluster 21,ctDNA and monitoring,-0.28753520899401097,-0.1516623926097029,-0.28753520899401097,-0.1516623926097029,0.01536746704181316,0.06928519741428392
lung-cancer-r-0277,"Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation","This review connects acquired resistance, development strategy, co-mutation effect, and residual disease. It frames the field around portfolio review, translational biomarker, dose optimization, and real-world evidence.",2022,review-like mixed corpus,review,"Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation [SEP] This review connects acquired resistance, development strategy, co-mutation effect, and residual disease. It frames the field around portfolio review, translational biomarker, dose optimization, and real-world evidence.",5,6,1.0,Cluster 6,Review hub: EGFR-mutant disease x adaptive signaling,0.2551228854391712,0.08993480555786885,0.2551228854391712,0.08993480555786885,-0.2683516976319224,0.10498004040129488
lung-cancer-02-0401,KRAS pathway development in KRAS G12C inhibition: study 401,"This study examines KRAS G12C inhibition through SHP2 biology, KRAS inhibitor, and adaptive pathway. It also discusses links to residual disease and longitudinal sampling, alongside dose optimization and validation cohort.",2025,KRAS development,core,"KRAS pathway development in KRAS G12C inhibition: study 401 [SEP] This study examines KRAS G12C inhibition through SHP2 biology, KRAS inhibitor, and adaptive pathway. It also discusses links to residual disease and longitudinal sampling, alongside dose optimization and validation cohort.",12,13,1.0,Cluster 13,KRAS development,0.030826812433787657,0.30713964546624883,0.030826812433787657,0.30713964546624883,0.2626264499882599,-0.1374411715890426
lung-cancer-03-0074,Biomarker selection in tumor mutational burden: study 74,"This study examines tumor mutational burden through checkpoint response, selection logic, and tumor mutational burden. It also discusses links to EGFR resistance and targeted escape, alongside translational biomarker and early-phase trial.",2023,Immunotherapy biomarkers,core,"Biomarker selection in tumor mutational burden: study 74 [SEP] This study examines tumor mutational burden through checkpoint response, selection logic, and tumor mutational burden. It also discusses links to EGFR resistance and targeted escape, alongside translational biomarker and early-phase trial.",17,18,1.0,Cluster 18,Immunotherapy biomarkers,0.07299879342745424,-0.3032365466231726,0.07299879342745424,-0.3032365466231726,0.029713327883167377,-0.17438626103369695
lung-cancer-01-0473,Resistance evolution in EGFR-mutant disease: study 473,"This study examines EGFR-mutant disease through line-of-therapy shift, EGFR resistance, and acquired resistance. It also discusses links to checkpoint response and immune exclusion, alongside molecular profiling and dose optimization.",2024,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 473 [SEP] This study examines EGFR-mutant disease through line-of-therapy shift, EGFR resistance, and acquired resistance. It also discusses links to checkpoint response and immune exclusion, alongside molecular profiling and dose optimization.",11,12,0.9995123784618984,Cluster 12,EGFR and ALK resistance,-0.07132211387825023,0.03643645811026709,-0.07132211387825023,0.03643645811026709,-0.005157376207309079,0.19619539038172173
lung-cancer-r-0239,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors","This review connects EGFR resistance, SHP2 biology, PD-L1 biomarker, and molecular monitoring. It frames the field around patient stratification, mechanism of resistance, validation cohort, and dose optimization.",2020,review-like mixed corpus,review,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors [SEP] This review connects EGFR resistance, SHP2 biology, PD-L1 biomarker, and molecular monitoring. It frames the field around patient stratification, mechanism of resistance, validation cohort, and dose optimization.",0,1,0.9934567010016686,Cluster 1,Review hub: osimertinib escape x pan-KRAS strategies,0.3522408501809524,-0.06440036502745121,0.3522408501809524,-0.06440036502745121,-0.08792724769326504,0.14503397331354273
lung-cancer-r-0047,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors","This review connects targeted escape, feedback signaling, PD-L1 biomarker, and liquid biopsy. It frames the field around validation cohort, portfolio review, clinical development, and translational biomarker.",2020,review-like mixed corpus,review,"Landscape review of osimertinib escape, pan-KRAS strategies, and PD-L1-high tumors [SEP] This review connects targeted escape, feedback signaling, PD-L1 biomarker, and liquid biopsy. It frames the field around validation cohort, portfolio review, clinical development, and translational biomarker.",0,1,0.9989668856574663,Cluster 1,Review hub: osimertinib escape x pan-KRAS strategies,0.3780568415230011,-0.06250796015532278,0.3780568415230011,-0.06250796015532278,-0.08890531195201254,0.09986763460043248
lung-cancer-01-0045,Resistance evolution in EGFR-mutant disease: study 45,"This study examines EGFR-mutant disease through line-of-therapy shift, targeted escape, and acquired resistance. It also discusses links to liquid biopsy and ctDNA surveillance, alongside portfolio review and molecular profiling.",2022,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 45 [SEP] This study examines EGFR-mutant disease through line-of-therapy shift, targeted escape, and acquired resistance. It also discusses links to liquid biopsy and ctDNA surveillance, alongside portfolio review and molecular profiling.",11,12,0.9906571276680818,Cluster 12,EGFR and ALK resistance,-0.11090390336983805,0.0785336542807437,-0.11090390336983805,0.0785336542807437,-0.01031497870145436,0.25832951493823225
lung-cancer-01-0290,Resistance evolution in ALK-positive tumors: study 290,"This study examines ALK-positive tumors through acquired resistance, ALK progression, and targeted escape. It also discusses links to selection logic and co-mutation effect, alongside clinical development and patient stratification.",2021,EGFR and ALK resistance,core,"Resistance evolution in ALK-positive tumors: study 290 [SEP] This study examines ALK-positive tumors through acquired resistance, ALK progression, and targeted escape. It also discusses links to selection logic and co-mutation effect, alongside clinical development and patient stratification.",1,2,0.9615276988249013,Cluster 2,EGFR and ALK resistance,0.0318778394679138,-0.08451705476012158,0.0318778394679138,-0.08451705476012158,0.05524511049701906,0.24890296067165696
lung-cancer-02-0413,KRAS pathway development in KRAS G12C inhibition: study 413,"This study examines KRAS G12C inhibition through SHP2 biology, KRAS inhibitor, and adaptive pathway. It also discusses links to residual disease and molecular monitoring, alongside molecular profiling and dose optimization.",2025,KRAS development,core,"KRAS pathway development in KRAS G12C inhibition: study 413 [SEP] This study examines KRAS G12C inhibition through SHP2 biology, KRAS inhibitor, and adaptive pathway. It also discusses links to residual disease and molecular monitoring, alongside molecular profiling and dose optimization.",12,13,1.0,Cluster 13,KRAS development,0.012684059380824952,0.2978013370621502,0.012684059380824952,0.2978013370621502,0.28048362350469647,-0.1349373624425307
lung-cancer-x-0084,Integrated analysis of longitudinal plasma genotyping with osimertinib escape: study 84,"This paper links plasma genotyping and longitudinal sampling to EGFR resistance and acquired resistance. The framing emphasizes real-world evidence, dose optimization, and validation cohort across mixed translational contexts.",2025,ctDNA and monitoring + EGFR and ALK resistance,crossover,"Integrated analysis of longitudinal plasma genotyping with osimertinib escape: study 84 [SEP] This paper links plasma genotyping and longitudinal sampling to EGFR resistance and acquired resistance. The framing emphasizes real-world evidence, dose optimization, and validation cohort across mixed translational contexts.",21,22,0.9940634427602074,Cluster 22,Bridge: ctDNA and monitoring x EGFR and ALK resistance,-0.2523756169591485,0.13397488947425137,-0.2523756169591485,0.13397488947425137,-0.3092025474558289,-0.0054794696534364385
lung-cancer-03-0361,Biomarker selection in PD-L1-high tumors: study 361,"This study examines PD-L1-high tumors through immune exclusion, checkpoint response, and selection logic. It also discusses links to longitudinal sampling and liquid biopsy, alongside translational biomarker and portfolio review.",2022,Immunotherapy biomarkers,core,"Biomarker selection in PD-L1-high tumors: study 361 [SEP] This study examines PD-L1-high tumors through immune exclusion, checkpoint response, and selection logic. It also discusses links to longitudinal sampling and liquid biopsy, alongside translational biomarker and portfolio review.",10,11,0.9608718225609658,Cluster 11,Immunotherapy biomarkers,0.11985779522343011,-0.3836926979049242,0.11985779522343011,-0.3836926979049242,0.0511741370359818,-0.08960423636210478
lung-cancer-r-0396,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects CNS metastasis, combination rationale, checkpoint response, and plasma genotyping. It frames the field around validation cohort, mechanism of resistance, patient stratification, and clinical development.",2021,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects CNS metastasis, combination rationale, checkpoint response, and plasma genotyping. It frames the field around validation cohort, mechanism of resistance, patient stratification, and clinical development.",4,5,1.0,Cluster 5,Review hub: CNS progression x KRAS G12C inhibition,0.27814903630767457,0.07752057121014463,0.27814903630767457,0.07752057121014463,-0.11817869775145476,0.09903223152403433
lung-cancer-r-0104,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects acquired resistance, development strategy, immune exclusion, and ctDNA surveillance. It frames the field around clinical development, translational biomarker, mechanism of resistance, and portfolio review.",2023,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects acquired resistance, development strategy, immune exclusion, and ctDNA surveillance. It frames the field around clinical development, translational biomarker, mechanism of resistance, and portfolio review.",4,5,0.9932352471021196,Cluster 5,Review hub: CNS progression x KRAS G12C inhibition,0.33165663079223207,0.04156991397299136,0.33165663079223207,0.04156991397299136,-0.12616316279221013,0.08776137279642678
lung-cancer-03-0227,Biomarker selection in STK11 co-mutation: study 227,"This study examines STK11 co-mutation through checkpoint response, PD-L1 biomarker, and selection logic. It also discusses links to targeted escape and EGFR resistance, alongside portfolio review and patient stratification.",2020,Immunotherapy biomarkers,core,"Biomarker selection in STK11 co-mutation: study 227 [SEP] This study examines STK11 co-mutation through checkpoint response, PD-L1 biomarker, and selection logic. It also discusses links to targeted escape and EGFR resistance, alongside portfolio review and patient stratification.",18,19,1.0,Cluster 19,Immunotherapy biomarkers,0.04060142361898382,-0.22639841172057287,0.04060142361898382,-0.22639841172057287,-0.036669492387801296,-0.15620015412988522
lung-cancer-01-0297,Resistance evolution in EGFR-mutant disease: study 297,"This study examines EGFR-mutant disease through targeted escape, CNS metastasis, and acquired resistance. It also discusses links to longitudinal sampling and residual disease, alongside patient stratification and translational biomarker.",2022,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 297 [SEP] This study examines EGFR-mutant disease through targeted escape, CNS metastasis, and acquired resistance. It also discusses links to longitudinal sampling and residual disease, alongside patient stratification and translational biomarker.",11,12,0.9897373866801964,Cluster 12,EGFR and ALK resistance,-0.13121607746536212,0.08143736492261473,-0.13121607746536212,0.08143736492261473,-0.015141437684092166,0.23716905665516025
lung-cancer-03-0242,Biomarker selection in tumor mutational burden: study 242,"This study examines tumor mutational burden through tumor mutational burden, immune exclusion, and checkpoint response. It also discusses links to ALK progression and EGFR resistance, alongside real-world evidence and patient stratification.",2023,Immunotherapy biomarkers,core,"Biomarker selection in tumor mutational burden: study 242 [SEP] This study examines tumor mutational burden through tumor mutational burden, immune exclusion, and checkpoint response. It also discusses links to ALK progression and EGFR resistance, alongside real-world evidence and patient stratification.",17,18,0.9934804718024651,Cluster 18,Immunotherapy biomarkers,0.08851441015033217,-0.3098726099402054,0.08851441015033217,-0.3098726099402054,0.03659679890887528,-0.1452314519947163
lung-cancer-03-0006,Biomarker selection in tumor mutational burden: study 6,"This study examines tumor mutational burden through checkpoint response, co-mutation effect, and selection logic. It also discusses links to adaptive pathway and combination rationale, alongside molecular profiling and early-phase trial.",2021,Immunotherapy biomarkers,core,"Biomarker selection in tumor mutational burden: study 6 [SEP] This study examines tumor mutational burden through checkpoint response, co-mutation effect, and selection logic. It also discusses links to adaptive pathway and combination rationale, alongside molecular profiling and early-phase trial.",17,18,0.8914435925797793,Cluster 18,Immunotherapy biomarkers,0.0799979324496339,-0.2716276870492953,0.0799979324496339,-0.2716276870492953,0.0912062067205692,-0.25204646121654567
lung-cancer-04-0166,Molecular monitoring for minimal residual disease: study 166,"This study examines minimal residual disease through ctDNA surveillance, plasma genotyping, and longitudinal sampling. It also discusses links to line-of-therapy shift and ALK progression, alongside real-world evidence and dose optimization.",2020,ctDNA and monitoring,core,"Molecular monitoring for minimal residual disease: study 166 [SEP] This study examines minimal residual disease through ctDNA surveillance, plasma genotyping, and longitudinal sampling. It also discusses links to line-of-therapy shift and ALK progression, alongside real-world evidence and dose optimization.",8,9,0.9438520024810548,Cluster 9,ctDNA and monitoring,-0.30191442551306485,-0.06522235937378429,-0.30191442551306485,-0.06522235937378429,0.07321937233793101,0.20168131694132585
lung-cancer-02-0247,KRAS pathway development in SHP2 combinations: study 247,"This study examines SHP2 combinations through adaptive pathway, feedback signaling, and KRAS inhibitor. It also discusses links to PD-L1 biomarker and tumor mutational burden, alongside validation cohort and molecular profiling.",2021,KRAS development,core,"KRAS pathway development in SHP2 combinations: study 247 [SEP] This study examines SHP2 combinations through adaptive pathway, feedback signaling, and KRAS inhibitor. It also discusses links to PD-L1 biomarker and tumor mutational burden, alongside validation cohort and molecular profiling.",7,8,0.9766648658045294,Cluster 8,KRAS development,0.11906362990617436,0.06539172972810255,0.11906362990617436,0.06539172972810255,0.284153112031541,-0.18164973607323884
lung-cancer-r-0352,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects line-of-therapy shift, development strategy, selection logic, and liquid biopsy. It frames the field around real-world evidence, dose optimization, portfolio review, and validation cohort.",2025,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects line-of-therapy shift, development strategy, selection logic, and liquid biopsy. It frames the field around real-world evidence, dose optimization, portfolio review, and validation cohort.",4,5,0.9480583512506715,Cluster 5,Review hub: CNS progression x KRAS G12C inhibition,0.3233411107843048,0.049826857934742314,0.3233411107843048,0.049826857934742314,-0.1290626261780642,0.11149188395620575
lung-cancer-01-0292,Resistance evolution in CNS progression: study 292,"This study examines CNS progression through targeted escape, CNS metastasis, and EGFR resistance. It also discusses links to combination rationale and adaptive pathway, alongside dose optimization and validation cohort.",2023,EGFR and ALK resistance,core,"Resistance evolution in CNS progression: study 292 [SEP] This study examines CNS progression through targeted escape, CNS metastasis, and EGFR resistance. It also discusses links to combination rationale and adaptive pathway, alongside dose optimization and validation cohort.",13,14,0.9944436477675802,Cluster 14,EGFR and ALK resistance,-0.03570536380747562,0.07903907775885159,-0.03570536380747562,0.07903907775885159,0.09915791291435602,0.19365328223972017
lung-cancer-02-0282,KRAS pathway development in adaptive signaling: study 282,"This study examines adaptive signaling through combination rationale, KRAS inhibitor, and adaptive pathway. It also discusses links to ALK progression and CNS metastasis, alongside mechanism of resistance and portfolio review.",2020,KRAS development,core,"KRAS pathway development in adaptive signaling: study 282 [SEP] This study examines adaptive signaling through combination rationale, KRAS inhibitor, and adaptive pathway. It also discusses links to ALK progression and CNS metastasis, alongside mechanism of resistance and portfolio review.",9,10,1.0,Cluster 10,KRAS development,0.06947806953460985,0.22791392866930024,0.06947806953460985,0.22791392866930024,0.24561680842185418,-0.08655912612240003
lung-cancer-x-0145,Integrated analysis of EGFR-mutant disease with KRAS G12C inhibition: study 145,"This paper links CNS metastasis and targeted escape to adaptive pathway and SHP2 biology. The framing emphasizes mechanism of resistance, early-phase trial, and real-world evidence across mixed translational contexts.",2020,EGFR and ALK resistance + KRAS development,crossover,"Integrated analysis of EGFR-mutant disease with KRAS G12C inhibition: study 145 [SEP] This paper links CNS metastasis and targeted escape to adaptive pathway and SHP2 biology. The framing emphasizes mechanism of resistance, early-phase trial, and real-world evidence across mixed translational contexts.",19,20,0.966428775722363,Cluster 20,Bridge: EGFR and ALK resistance x KRAS development,-0.045960238656078324,0.3306621138990036,-0.045960238656078324,0.3306621138990036,-0.20506139414546137,-0.1144592802748021
lung-cancer-01-0323,Resistance evolution in osimertinib escape: study 323,"This study examines osimertinib escape through line-of-therapy shift, acquired resistance, and EGFR resistance. It also discusses links to checkpoint response and immune exclusion, alongside portfolio review and dose optimization.",2024,EGFR and ALK resistance,core,"Resistance evolution in osimertinib escape: study 323 [SEP] This study examines osimertinib escape through line-of-therapy shift, acquired resistance, and EGFR resistance. It also discusses links to checkpoint response and immune exclusion, alongside portfolio review and dose optimization.",14,15,1.0,Cluster 15,EGFR and ALK resistance,-0.03947535479074377,-0.02671871938564773,-0.03947535479074377,-0.02671871938564773,0.0093796171036436,0.2060300051499345
lung-cancer-01-0299,Resistance evolution in osimertinib escape: study 299,"This study examines osimertinib escape through targeted escape, CNS metastasis, and line-of-therapy shift. It also discusses links to co-mutation effect and immune exclusion, alongside dose optimization and translational biomarker.",2024,EGFR and ALK resistance,core,"Resistance evolution in osimertinib escape: study 299 [SEP] This study examines osimertinib escape through targeted escape, CNS metastasis, and line-of-therapy shift. It also discusses links to co-mutation effect and immune exclusion, alongside dose optimization and translational biomarker.",14,15,1.0,Cluster 15,EGFR and ALK resistance,-0.057695970297469604,-0.030885395394897045,-0.057695970297469604,-0.030885395394897045,0.0025570851741305196,0.17076573842868256
lung-cancer-03-0299,Biomarker selection in STK11 co-mutation: study 299,"This study examines STK11 co-mutation through tumor mutational burden, checkpoint response, and PD-L1 biomarker. It also discusses links to acquired resistance and CNS metastasis, alongside validation cohort and portfolio review.",2020,Immunotherapy biomarkers,core,"Biomarker selection in STK11 co-mutation: study 299 [SEP] This study examines STK11 co-mutation through tumor mutational burden, checkpoint response, and PD-L1 biomarker. It also discusses links to acquired resistance and CNS metastasis, alongside validation cohort and portfolio review.",18,19,0.9673664822673901,Cluster 19,Immunotherapy biomarkers,0.0619154568284019,-0.24523987402310254,0.0619154568284019,-0.24523987402310254,-0.029708583215662998,-0.17346590361586287
lung-cancer-01-0195,Resistance evolution in osimertinib escape: study 195,"This study examines osimertinib escape through CNS metastasis, acquired resistance, and targeted escape. It also discusses links to molecular monitoring and ctDNA surveillance, alongside dose optimization and real-world evidence.",2022,EGFR and ALK resistance,core,"Resistance evolution in osimertinib escape: study 195 [SEP] This study examines osimertinib escape through CNS metastasis, acquired resistance, and targeted escape. It also discusses links to molecular monitoring and ctDNA surveillance, alongside dose optimization and real-world evidence.",14,15,1.0,Cluster 15,EGFR and ALK resistance,-0.14399871948563414,0.003344528859982891,-0.14399871948563414,0.003344528859982891,0.018104733911032202,0.23893178597078146
lung-cancer-01-0064,Resistance evolution in CNS progression: study 64,"This study examines CNS progression through EGFR resistance, ALK progression, and targeted escape. It also discusses links to adaptive pathway and KRAS inhibitor, alongside early-phase trial and dose optimization.",2023,EGFR and ALK resistance,core,"Resistance evolution in CNS progression: study 64 [SEP] This study examines CNS progression through EGFR resistance, ALK progression, and targeted escape. It also discusses links to adaptive pathway and KRAS inhibitor, alongside early-phase trial and dose optimization.",13,14,0.9866789723820938,Cluster 14,EGFR and ALK resistance,-0.015588033123887275,0.08788315712256892,-0.015588033123887275,0.08788315712256892,0.10094226191409922,0.1945944754263763
